City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,10.12,69,100,5.94,NZ,1697555085
1,porto uniao,-26.2381,-51.0783,22.47,84,100,0.99,BR,1697555464
2,blackmans bay,-43.0167,147.3167,8.07,84,38,2.19,AU,1697555464
3,puerto ayora,-0.7393,-90.3518,28.98,89,96,3.13,EC,1697555116
4,edinburgh of the seven seas,-37.0676,-12.3116,12.47,68,100,4.16,SH,1697555100
5,ushuaia,-54.8,-68.3,11.79,56,0,3.6,AR,1697554893
6,crane,31.3974,-102.3501,17.85,36,0,5.44,US,1697555215
7,chekmagush,55.1319,54.6556,7.98,66,99,9.34,RU,1697555465
8,puerto natales,-51.7236,-72.4875,14.25,47,75,12.35,CL,1697555465
9,port-aux-francais,-49.35,70.2167,2.22,78,89,10.14,TF,1697555466
10,kayyerkan,69.3786,87.7439,-0.39,100,100,4.31,RU,1697555466
11,amga,60.8953,131.9608,-3.34,52,100,3.13,RU,1697555203
12,thurgoona,-36.0451,146.9919,9.81,100,0,1.34,AU,1697555466
13,alofi,-19.0595,-169.9187,22.84,73,67,10.71,NU,1697555467
14,vorgashor,67.5833,63.95,2.37,98,100,1.91,RU,1697555111
15,tiksi,71.6872,128.8694,-16.54,100,80,0.79,RU,1697555077
16,muang phon-hong,18.4928,102.4172,24.35,90,82,0.33,LA,1697555467
17,san patricio,28.017,-97.5169,21.03,44,0,2.3,US,1697555438
18,magadan,59.5667,150.8,-2.32,75,8,4.92,RU,1697554971
19,bethel,41.3712,-73.414,15.3,70,100,1.54,US,1697555468
20,margaret river,-33.95,115.0667,17.0,81,99,5.21,AU,1697554948
21,badiyah,22.45,58.8,31.43,31,59,3.46,OM,1697555468
22,new norfolk,-42.7826,147.0587,8.73,95,68,1.64,AU,1697555110
23,ziro,27.6333,93.8333,9.65,90,5,0.9,IN,1697555469
24,adamstown,-25.066,-130.1015,21.66,89,87,3.79,PN,1697555082
25,invercargill,-46.4,168.35,6.12,78,34,3.13,NZ,1697554836
26,ancud,-41.8697,-73.8203,11.99,63,17,1.33,CL,1697555090
27,albany,42.6001,-73.9662,13.43,73,100,1.63,US,1697555227
28,boende,-0.2167,20.8667,28.17,67,100,0.78,CD,1697554950
29,port mathurin,-19.6833,63.4167,24.39,86,3,4.34,MU,1697554971
30,hamilton,39.1834,-84.5333,12.36,82,100,3.6,US,1697555471
31,port elizabeth,-33.918,25.5701,20.17,74,0,8.23,ZA,1697554972
32,yesilhisar,38.3497,35.0867,16.2,50,30,2.1,TR,1697555472
33,kavaratti,10.5669,72.642,28.63,67,88,1.44,IN,1697555472
34,grytviken,-54.2811,-36.5092,2.4,84,99,4.31,GS,1697555473
35,ust-nera,64.5667,143.2,-20.54,94,84,1.31,RU,1697554995
36,kaliua,-5.0606,31.7936,30.93,32,91,1.33,TZ,1697555473
37,sayat,38.7839,63.8803,22.15,20,100,3.86,TM,1697555474
38,kapuskasing,49.4169,-82.4331,6.88,73,0,1.4,CA,1697555402
39,vanersborg,58.3807,12.3234,11.99,76,100,7.2,SE,1697555474
40,zhosaly,45.4878,64.0781,14.06,38,0,4.07,KZ,1697555475
41,anadyr,64.75,177.4833,-4.72,92,40,3.0,RU,1697555475
42,medicine hat,50.0501,-110.6683,13.55,59,68,3.58,CA,1697555460
43,chernyshevskiy,63.0128,112.4714,-3.75,97,97,2.15,RU,1697554958
44,malango,-2.9627,119.9001,19.71,94,62,0.7,ID,1697555476
45,broken hill,-31.95,141.4333,13.69,35,0,4.06,AU,1697554883
46,vila franca do campo,37.7167,-25.4333,22.23,71,70,4.68,PT,1697555196
47,kone,-21.0595,164.8658,21.95,98,100,1.71,NC,1697555188
48,kerema,-7.9631,145.7785,25.13,91,100,1.94,PG,1697555477
49,sakete,6.7362,2.6587,25.2,87,100,1.85,BJ,1697555477
50,ribeira grande,38.5167,-28.7,22.22,78,75,6.17,PT,1697555478
51,argo,37.6333,22.7333,22.1,71,44,3.13,GR,1697555100
52,stanley,54.868,-1.6985,12.1,86,20,3.09,GB,1697554982
53,wailua homesteads,22.0669,-159.378,22.73,78,0,2.05,US,1697554965
54,bredasdorp,-34.5322,20.0403,22.63,61,0,2.79,ZA,1697555080
55,roma,43.2128,-75.4557,12.99,78,75,2.57,US,1697555479
56,vila velha,-20.3297,-40.2925,30.97,68,20,6.69,BR,1697555223
57,afaahiti,-17.75,-149.2833,22.93,85,83,7.02,PF,1697555112
58,aykhal,66.0,111.5,-7.74,98,86,2.24,RU,1697555480
59,atafu village,-8.5421,-172.5159,28.31,75,45,5.04,TK,1697554987
60,buurhakaba,2.8026,44.0781,31.63,46,100,8.02,SO,1697555480
61,jamestown,42.097,-79.2353,8.9,99,100,2.06,US,1697554990
62,gizo,-8.103,156.8419,27.33,80,100,2.48,SB,1697555481
63,merida,20.9667,-89.6167,26.68,61,75,7.6,MX,1697555481
64,yei,4.095,30.6779,24.87,82,97,0.38,SS,1697555481
65,chibougamau,49.9168,-74.3659,7.7,60,16,1.6,CA,1697555481
66,lethem,3.3803,-59.7968,33.96,46,38,2.88,GY,1697555482
67,huayin,34.5675,110.0921,17.17,74,99,2.91,CN,1697555482
68,sawakin,19.1059,37.3321,29.58,63,66,5.37,SD,1697555482
69,olonkinbyen,70.9221,-8.7187,0.11,81,99,5.58,SJ,1697554963
70,avarua,-21.2078,-159.775,22.03,73,20,3.09,CK,1697554955
71,patnanungan,14.7833,122.1833,27.23,83,27,6.58,PH,1697555483
72,buka,40.8108,69.1986,16.29,26,0,2.71,UZ,1697555483
73,okhotsk,59.3833,143.3,-5.49,70,3,5.88,RU,1697554992
74,afif,23.9065,42.9172,29.4,15,3,3.39,SA,1697555219
75,vernal,40.4555,-109.5287,13.7,52,0,1.54,US,1697555421
76,hermanus,-34.4187,19.2345,19.96,70,0,0.66,ZA,1697554975
77,laurel bay,32.4502,-80.7848,17.98,55,0,4.12,US,1697555484
78,west island,-12.1568,96.8225,25.99,89,75,7.2,CC,1697555045
79,celestun,20.8667,-90.4,26.32,57,50,6.04,MX,1697555485
80,lowestoft,52.4752,1.7516,14.45,68,27,8.88,GB,1697555485
81,constantia,44.1833,28.65,14.38,50,100,3.67,RO,1697554919
82,padang,-0.9492,100.3543,26.03,91,56,0.58,ID,1697555485
83,fort bragg,35.139,-79.006,17.68,66,85,2.24,US,1697554983
84,hotan,37.0997,79.9269,15.15,27,93,3.45,CN,1697555486
85,bilibino,68.0546,166.4372,-15.02,99,100,1.33,RU,1697555114
86,georgetown,5.4112,100.3354,26.97,86,20,1.54,MY,1697554930
87,rongelap,11.1635,166.8941,28.32,75,60,6.15,MH,1697555487
88,lebu,-37.6167,-73.65,14.24,62,0,7.07,CL,1697555094
89,puerto rosario,-24.45,-57.0833,41.4,19,95,5.08,PY,1697555487
90,udachny,66.4167,112.4,-6.97,92,91,4.04,RU,1697555154
91,dois vizinhos,-25.7336,-53.0572,32.52,42,63,3.36,BR,1697555488
92,port-vila,-17.7338,168.3219,22.78,94,20,1.03,VU,1697555219
93,ione,38.3527,-120.9327,22.37,45,0,2.57,US,1697555488
94,laizhou,37.1717,119.9214,17.79,76,100,5.27,CN,1697555489
95,saint-pierre,-21.3393,55.4781,24.82,78,100,1.54,RE,1697555489
96,tura,25.5198,90.2201,19.83,91,0,1.3,IN,1697555016
97,luderitz,-26.6481,15.1594,21.05,61,5,5.41,NA,1697555079
98,holmsund,63.706,20.3641,2.97,75,0,2.24,SE,1697555489
99,kodiak,57.79,-152.4072,7.73,87,100,3.6,US,1697555085
100,playas,-2.6333,-80.3833,24.83,81,95,2.29,EC,1697555490
101,arraial do cabo,-22.9661,-42.0278,29.92,62,0,5.66,BR,1697555090
102,talnakh,69.4865,88.3972,-0.44,94,100,2.89,RU,1697555081
103,tamiahua,21.2667,-97.45,22.16,65,67,4.45,MX,1697555491
104,praia da vitoria,38.7333,-27.0667,24.14,64,20,5.19,PT,1697555030
105,along,28.1667,94.7667,18.4,97,1,1.16,IN,1697554910
106,willowmore,-33.2926,23.4895,24.93,20,0,1.74,ZA,1697555491
107,gannan,47.9147,123.5031,9.16,41,100,4.71,CN,1697555492
108,pacocha,-17.5833,-71.3333,20.08,73,75,3.6,PE,1697555194
109,cockburn town,21.4612,-71.1419,29.17,68,11,0.79,TC,1697555492
110,sur,22.5667,59.5289,29.91,61,17,1.67,OM,1697555492
111,singarayakonda,15.25,80.0333,28.12,66,25,3.55,IN,1697555492
112,carnarvon,-24.8667,113.6333,23.83,53,0,9.31,AU,1697555182
113,yandev,7.3667,9.05,30.28,61,99,2.48,NG,1697555493
114,papatowai,-46.5619,169.4708,3.91,81,54,4.2,NZ,1697555073
115,palangkaraya,-2.2,113.8333,26.32,83,84,0.97,ID,1697555494
116,griffith,41.5284,-87.4237,12.86,86,0,1.54,US,1697554957
117,mhlume,-26.0333,31.85,17.73,75,100,6.07,SZ,1697555495
118,scone,56.4194,-3.4051,10.68,82,100,1.34,GB,1697555495
119,ta`u,-14.2336,-169.5144,25.68,83,86,8.09,AS,1697555495
120,victorica,-36.2151,-65.4359,21.3,21,18,4.25,AR,1697555496
121,sinabang,2.4803,96.3801,25.48,84,100,0.33,ID,1697555136
122,utrik,11.2278,169.8474,28.12,77,45,6.96,MH,1697555108
123,qaqortoq,60.7167,-46.0333,0.82,69,62,2.39,GL,1697554979
124,colonia,50.9333,6.95,14.47,51,0,2.57,DE,1697555172
125,bubaque,11.2833,-15.8333,27.81,74,9,2.27,GW,1697555119
126,thompson,55.7435,-97.8558,-0.91,100,75,1.03,CA,1697554986
127,callao,-12.0667,-77.15,22.07,82,100,4.63,PE,1697554899
128,longyearbyen,78.2186,15.6401,-4.09,50,75,6.17,SJ,1697555084
129,turgen,43.4006,77.5933,8.07,40,0,2.22,KZ,1697555498
130,san rafael,-34.6177,-68.3301,18.9,28,10,4.52,AR,1697555499
131,cartagena del chaira,1.3349,-74.8429,31.3,54,12,1.29,CO,1697554810
132,albu kamal,34.45,40.9186,25.93,34,0,1.45,SY,1697555358
133,loyew,51.9458,30.7953,8.48,52,57,4.45,BY,1697555499
134,bria,6.5423,21.9863,25.88,85,57,2.12,CF,1697555500
135,college,64.8569,-147.8028,2.67,79,100,2.06,US,1697555092
136,ilhabela,-23.7781,-45.3581,28.05,68,100,2.47,BR,1697555500
137,tarauaca,-8.1614,-70.7656,34.46,39,61,1.27,BR,1697555500
138,fortuna,40.5982,-124.1573,14.96,97,81,1.62,US,1697555010
139,badger,64.8,-147.5333,2.62,83,100,2.06,US,1697555082
140,klyuchi,52.2667,79.1667,11.11,73,7,3.22,RU,1697555110
141,tsiombe,-25.3,45.4833,22.99,84,100,4.5,MG,1697555502
142,iqaluit,63.7506,-68.5145,-3.15,68,100,1.54,CA,1697555025
143,vadso,70.0744,29.7487,1.49,80,40,4.12,NO,1697554964
144,sitka,57.0531,-135.33,10.94,87,100,0.0,US,1697555126
145,villarrica,-25.75,-56.4333,33.85,41,92,1.48,PY,1697555502
146,ilulissat,69.2167,-51.1,-9.99,48,0,1.54,GL,1697555091
147,yemetsk,63.4721,41.7941,3.41,83,100,2.13,RU,1697555229
148,hawaiian paradise park,19.5933,-154.9731,21.13,95,2,0.43,US,1697554961
149,fada,9.5667,8.3,28.96,57,86,0.85,NG,1697554949
150,nova vicosa,-17.8919,-39.3719,27.04,66,52,3.95,BR,1697554905
151,amos,48.5669,-78.1162,6.87,74,20,1.58,CA,1697555484
152,kyabe,9.4515,18.9449,32.55,48,89,2.0,TD,1697555504
153,pawcatuck,41.3773,-71.8337,16.12,77,0,5.14,US,1697555504
154,lihue,21.9789,-159.3672,20.77,83,0,3.6,US,1697555089
155,marand,38.4329,45.7749,16.94,47,21,0.75,IR,1697555505
156,teguise,29.0605,-13.564,24.12,83,20,3.09,ES,1697555421
157,ghat,24.9647,10.1728,33.5,13,26,2.51,LY,1697555505
158,juneau,58.3019,-134.4197,11.0,95,75,6.17,US,1697555289
159,katsuura,35.1333,140.3,19.47,80,14,2.84,JP,1697555080
160,puri,19.8,85.85,28.29,68,11,2.61,IN,1697555238
161,payakumbuh,-0.2202,100.6308,21.92,93,92,1.67,ID,1697555506
162,khandyga,62.6667,135.6,-9.52,85,100,1.12,RU,1697555507
163,port alfred,-33.5906,26.891,19.54,80,1,3.58,ZA,1697555507
164,belmonte,-15.8631,-38.8828,26.86,62,48,4.21,BR,1697554975
165,galle,6.0367,80.217,26.08,82,100,1.36,LK,1697554886
166,inirida,3.8653,-67.9239,33.01,52,19,0.45,CO,1697555508
167,timaru,-44.4,171.25,7.26,94,11,1.79,NZ,1697555476
168,whitehorse,60.7161,-135.0538,7.43,81,75,5.66,CA,1697554874
169,luanda,-8.8368,13.2343,28.0,74,75,4.63,AO,1697554983
170,arvika,59.6553,12.5852,11.34,69,59,3.26,SE,1697555508
171,selfoss,63.9331,-20.9971,9.47,94,100,10.57,IS,1697554938
172,cullman,34.1748,-86.8436,15.45,71,100,2.06,US,1697555249
173,whangarei,-35.7317,174.3239,14.64,97,100,2.08,NZ,1697555184
174,mungyeong,36.5946,128.1995,9.65,66,0,0.9,KR,1697555227
175,nema,57.5067,50.5011,4.3,69,100,11.63,RU,1697555509
176,alajarvi,63.0,23.8167,1.4,87,17,1.95,FI,1697555510
177,hithadhoo,-0.6,73.0833,27.48,75,43,6.74,MV,1697555215
178,aasiaat,68.7098,-52.8699,-15.19,80,40,3.26,GL,1697555090
179,itoman,26.1247,127.6694,24.01,62,20,3.09,JP,1697554956
180,tazovsky,67.4667,78.7,2.82,91,100,6.02,RU,1697555137
181,saurimo,-9.6608,20.3916,29.16,46,96,3.38,AO,1697555232
182,eldorado at santa fe,35.5264,-105.9347,17.29,41,0,5.14,US,1697555511
183,pangody,65.85,74.4859,4.52,96,100,4.46,RU,1697555512
184,mossel bay,-34.1831,22.146,24.96,74,1,4.29,ZA,1697555124
185,vilyuchinsk,52.9306,158.4028,7.18,86,88,1.87,RU,1697555103
186,remire-montjoly,4.9167,-52.2667,34.02,52,75,3.09,GF,1697555177
187,fale old settlement,-9.3852,-171.2468,27.53,80,100,5.39,TK,1697555083
188,aldinga beach,-35.2793,138.4604,13.9,82,0,4.0,AU,1697555513
189,hirara,24.8,125.2833,25.09,66,98,6.78,JP,1697555513
190,uturoa,-16.7333,-151.4333,25.91,80,100,7.05,PF,1697555513
191,tolanaro,-25.0319,46.9987,24.04,78,75,6.17,MG,1697555168
192,nar'yan-mar,67.6713,53.087,1.17,89,100,4.02,RU,1697555095
193,craiova,44.3167,23.8,15.55,44,0,3.6,RO,1697555514
194,tangalle,6.024,80.7911,26.09,87,100,2.41,LK,1697555514
195,saint-francois,46.4154,3.9054,20.69,61,0,3.6,FR,1697555178
196,chos malal,-37.3781,-70.2709,17.3,26,0,4.38,AR,1697555515
197,neiafu,-18.65,-173.9833,23.38,83,20,5.14,TO,1697555515
198,amahai,-3.3333,128.9167,26.07,87,69,0.96,ID,1697555515
